Town,County,Per capita income,Location,Lat,Lon
"Middletown Township, Delaware County, Pennsylvania",Delaware County,"$29,418 ","Middletown Township, Delaware County, Pennsylvania, USA",39.9077896,-75.43713519
"Plumstead Township, Pennsylvania",Bucks County,"$29,411 ","Plumstead Township, Bucks County, Pennsylvania, USA",40.38609515,-75.11899585
"Hanover Township, Northampton County, Pennsylvania",Northampton County,"$29,370 ","Hanover Township, Northampton County, Pennsylvania, USA",40.6617641,-75.4124036
"Springfield Township, Bucks County, Pennsylvania",Bucks County,"$29,355 ","Springfield Township, Bucks County, Pennsylvania, USA",40.5249235,-75.28752806
"Bethel Township, Delaware County, Pennsylvania",Delaware County,"$29,349 ","Bethel Township, Delaware County, Pennsylvania, 19060, USA",39.8485407,-75.48638868
"Seven Fields, Pennsylvania",Butler County,"$29,215 ","Seven Fields, Butler County, Pennsylvania, USA",40.6846423,-80.0615292
"South Hanover Township, Pennsylvania",Luzerne County,"$29,213 ","Hanover Township, Luzerne County, Pennsylvania, 18706, USA",41.203213,-75.92334214
"Boalsburg, Pennsylvania",Centre County,"$29,209 ","Boalsburg, Harris Township, Centre County, Pennsylvania, 16827, USA",40.7756184,-77.7924992
"Schaefferstown, Pennsylvania",Lebanon County,"$29,176 ","Schaefferstown, Lebanon County, Pennsylvania, 17088, USA",40.2980523,-76.2934049
"Bedminster Township, Pennsylvania",Bucks County,"$29,153 ","Bedminster Township, Bucks County, Pennsylvania, USA",40.41934585,-75.19208854
"Fernville, Pennsylvania",Columbia County,"$29,098 ","Fernville, Columbia County, Pennsylvania, USA",41.001898,-76.47701059
"Hampton Township, Pennsylvania",Allegheny County,"$29,071 ","Hampton Township, Allegheny County, Pennsylvania, USA",40.5811818,-79.953211
"Eagles Mere, Pennsylvania",Sullivan County,"$29,052 ","Eagles Mere, Sullivan County, Pennsylvania, 17731, USA",41.4109919,-76.5842439
"Cumru Township, Pennsylvania",Berks County,"$28,996 ","Cumru Township, Berks County, Pennsylvania, United States of America",40.28386695,-75.93718261
"Hampden Township, Pennsylvania",Cumberland County,"$28,977 ","Hampden Township Police Department, Perimeter Road, Mechanicsburg, Cumberland County, Pennsylvania, 17050, USA",40.23212915,-76.97258068
"Montgomeryville, Pennsylvania",Bucks County,"$28,967 ","Montgomeryville, Manor Drive, Remington Oaks, New Britain Township, Bucks County, Pennsylvania, 18914, USA",40.2498255,-75.23850066
"South Coventry Township, Pennsylvania",Chester County,"$28,956 ","South Coventry Township, Chester County, Pennsylvania, USA",40.17168545,-75.67484765
"New Britain Township, Pennsylvania",Bucks County,"$28,923 ","New Britain Township, Bucks County, Pennsylvania, USA",40.30815835,-75.21643709
"Plymouth Township, Montgomery County, Pennsylvania",Montgomery County,"$28,862 ","Plymouth Township, Montgomery County, Pennsylvania, 19462, United States of America",40.10941275,-75.29834666
